"chromosome","start","end","tissue","tissue_type","query"
"chr8",124773407,125382643,"CORL279_LUNG_AA_amplicon6_amplicon6","LUNG","8:124773407:125382643"
"chr8",128740857,128755349,"CORL279_LUNG_AA_amplicon6_amplicon6","LUNG","8:128740857:128755349"
"chr11",112530888,112854713,"CORL311_LUNG_AA_amplicon1_amplicon1","LUNG","11:112530888:112854713"
"chr11",112948462,115698318,"CORL311_LUNG_AA_amplicon1_amplicon1","LUNG","11:112948462:115698318"
"chr6",44182424,44188391,"CORL311_LUNG_AA_amplicon11_amplicon11","LUNG","6:44182424:44188391"
"chr6",105836823,106859891,"CORL311_LUNG_AA_amplicon11_amplicon11","LUNG","6:105836823:106859891"
"chr6",106859948,106955000,"CORL311_LUNG_AA_amplicon11_amplicon11","LUNG","6:106859948:106955000"
"chr6",106958382,107203015,"CORL311_LUNG_AA_amplicon11_amplicon11","LUNG","6:106958382:107203015"
"chr6",107203034,107381360,"CORL311_LUNG_AA_amplicon11_amplicon11","LUNG","6:107203034:107381360"
"chr6",107523822,107534746,"CORL311_LUNG_AA_amplicon11_amplicon11","LUNG","6:107523822:107534746"
"chr6",107750350,107837596,"CORL311_LUNG_AA_amplicon11_amplicon11","LUNG","6:107750350:107837596"
"chr8",128686436,128713972,"CORL311_LUNG_AA_amplicon11_amplicon11","LUNG","8:128686436:128713972"
"chr8",128714849,128889462,"CORL311_LUNG_AA_amplicon11_amplicon11","LUNG","8:128714849:128889462"
"chr8",128889470,129062088,"CORL311_LUNG_AA_amplicon11_amplicon11","LUNG","8:128889470:129062088"
"chr8",129138090,129171653,"CORL311_LUNG_AA_amplicon11_amplicon11","LUNG","8:129138090:129171653"
"chr8",129181528,129281561,"CORL311_LUNG_AA_amplicon11_amplicon11","LUNG","8:129181528:129281561"
"chr1",36733598,41079730,"CORL88_LUNG_AA_amplicon10_amplicon10","LUNG","1:36733598:41079730"
"chr8",36066333,37050884,"CORL88_LUNG_AA_amplicon2_amplicon2","LUNG","8:36066333:37050884"
"chr8",37051853,39232022,"CORL88_LUNG_AA_amplicon2_amplicon2","LUNG","8:37051853:39232022"
"chr8",39387228,39661231,"CORL88_LUNG_AA_amplicon2_amplicon2","LUNG","8:39387228:39661231"
"chr1",7983834,8576827,"CORL88_LUNG_AA_amplicon8_amplicon8","LUNG","1:7983834:8576827"
"chr1",8577166,8578533,"CORL88_LUNG_AA_amplicon8_amplicon8","LUNG","1:8577166:8578533"
"chr1",8743123,8745543,"CORL88_LUNG_AA_amplicon8_amplicon8","LUNG","1:8743123:8745543"
"chr1",8747798,9714708,"CORL88_LUNG_AA_amplicon8_amplicon8","LUNG","1:8747798:9714708"
"chr1",11434841,11449014,"CORL88_LUNG_AA_amplicon8_amplicon8","LUNG","1:11434841:11449014"
"chr1",12779407,12909376,"CORL88_LUNG_AA_amplicon8_amplicon8","LUNG","1:12779407:12909376"
"chr1",12942553,12949937,"CORL88_LUNG_AA_amplicon8_amplicon8","LUNG","1:12942553:12949937"
"chr1",13173736,13219861,"CORL88_LUNG_AA_amplicon8_amplicon8","LUNG","1:13173736:13219861"
"chr1",14825258,16081012,"CORL88_LUNG_AA_amplicon8_amplicon8","LUNG","1:14825258:16081012"
"chr1",16415255,16425251,"CORL88_LUNG_AA_amplicon8_amplicon8","LUNG","1:16415255:16425251"
"chr1",8772214,9609249,"CORL88_LUNG_AA_amplicon8_amplicon8","LUNG","1:8772214:9609249"
"chr21",29919460,31038810,"COV362_OVARY_AA_amplicon10_amplicon10","OVARY","21:29919460:31038810"
"chr8",127764607,129826005,"COV362_OVARY_AA_amplicon8_amplicon8","OVARY","8:127764607:129826005"
"chr8",129828089,133181739,"COV362_OVARY_AA_amplicon8_amplicon8","OVARY","8:129828089:133181739"
"chr16",1733679,1733834,"COV362_OVARY_AA_amplicon8_amplicon8","OVARY","16:1733679:1733834"
"chr12",69288989,70594866,"COV644_OVARY_AA_amplicon3_amplicon3","OVARY","12:69288989:70594866"
"chr12",70597577,71172709,"COV644_OVARY_AA_amplicon3_amplicon3","OVARY","12:70597577:71172709"
"chr12",17607011,22654537,"DANG_PANCREAS_AA_amplicon1_amplicon1","PANCREAS","12:17607011:22654537"
"chr12",23542685,28294040,"DANG_PANCREAS_AA_amplicon1_amplicon1","PANCREAS","12:23542685:28294040"
"chr7",45912348,46430777,"DANG_PANCREAS_AA_amplicon10_amplicon10","PANCREAS","7:45912348:46430777"
"chr9",73250338,73250916,"DANG_PANCREAS_AA_amplicon13_amplicon13","PANCREAS","9:73250338:73250916"
"chr9",73252948,73253046,"DANG_PANCREAS_AA_amplicon13_amplicon13","PANCREAS","9:73252948:73253046"
"chr9",75434970,75989978,"DANG_PANCREAS_AA_amplicon13_amplicon13","PANCREAS","9:75434970:75989978"
"chr9",76039895,76476422,"DANG_PANCREAS_AA_amplicon13_amplicon13","PANCREAS","9:76039895:76476422"
"chr9",103008154,103028731,"DANG_PANCREAS_AA_amplicon13_amplicon13","PANCREAS","9:103008154:103028731"
"chr8",9937392,11192591,"DANG_PANCREAS_AA_amplicon2_amplicon2","PANCREAS","8:9937392:11192591"
"chr8",15412678,15412770,"DANG_PANCREAS_AA_amplicon2_amplicon2","PANCREAS","8:15412678:15412770"
"chr8",34830064,35411502,"DANG_PANCREAS_AA_amplicon2_amplicon2","PANCREAS","8:34830064:35411502"
"chr8",36987178,37050884,"DANG_PANCREAS_AA_amplicon2_amplicon2","PANCREAS","8:36987178:37050884"
"chr8",37051853,38675464,"DANG_PANCREAS_AA_amplicon2_amplicon2","PANCREAS","8:37051853:38675464"
"chr8",39360658,39687837,"DANG_PANCREAS_AA_amplicon2_amplicon2","PANCREAS","8:39360658:39687837"
"chr11",32842767,35828713,"DETROIT562_UPPER_AERODIGESTIVE_TRACT_AA_amplicon3_amplicon3","UPPER","11:32842767:35828713"
"chr11",69788519,70961090,"DETROIT562_UPPER_AERODIGESTIVE_TRACT_AA_amplicon3_amplicon3","UPPER","11:69788519:70961090"
"chr22",19614742,20239430,"DETROIT562_UPPER_AERODIGESTIVE_TRACT_AA_amplicon3_amplicon3","UPPER","22:19614742:20239430"
"chr11",96437728,98264598,"DETROIT562_UPPER_AERODIGESTIVE_TRACT_AA_amplicon7_amplicon7","UPPER","11:96437728:98264598"
"chr11",98268986,104267750,"DETROIT562_UPPER_AERODIGESTIVE_TRACT_AA_amplicon7_amplicon7","UPPER","11:98268986:104267750"
"chr11",104273229,105231841,"DETROIT562_UPPER_AERODIGESTIVE_TRACT_AA_amplicon7_amplicon7","UPPER","11:104273229:105231841"
"chr11",66835800,66997260,"DMS114_LUNG_AA_amplicon10_amplicon10","LUNG","11:66835800:66997260"
"chr11",67322344,68566415,"DMS114_LUNG_AA_amplicon10_amplicon10","LUNG","11:67322344:68566415"
"chr8",35749799,35830817,"DMS114_LUNG_AA_amplicon10_amplicon10","LUNG","8:35749799:35830817"
"chr8",40019016,40078504,"DMS114_LUNG_AA_amplicon10_amplicon10","LUNG","8:40019016:40078504"
"chr11",30461286,31393779,"DMS114_LUNG_AA_amplicon4_amplicon4","LUNG","11:30461286:31393779"
"chr11",31397646,32254260,"DMS114_LUNG_AA_amplicon4_amplicon4","LUNG","11:31397646:32254260"
"chr11",35029228,35268890,"DMS114_LUNG_AA_amplicon4_amplicon4","LUNG","11:35029228:35268890"
"chr11",39904489,39914950,"DMS114_LUNG_AA_amplicon4_amplicon4","LUNG","11:39904489:39914950"
"chr1",1484629,1484710,"DMS273_LUNG_AA_amplicon12_amplicon12","LUNG","1:1484629:1484710"
"chr1",38469111,38602547,"DMS273_LUNG_AA_amplicon12_amplicon12","LUNG","1:38469111:38602547"
"chr1",38604741,41926787,"DMS273_LUNG_AA_amplicon12_amplicon12","LUNG","1:38604741:41926787"
"chr1",150406825,150568143,"DMS273_LUNG_AA_amplicon12_amplicon12","LUNG","1:150406825:150568143"
"chr1",150574478,151218684,"DMS273_LUNG_AA_amplicon12_amplicon12","LUNG","1:150574478:151218684"
"chr7",30733261,30951563,"DMS273_LUNG_AA_amplicon2_amplicon2","LUNG","7:30733261:30951563"
"chr8",78048319,78135894,"DMS273_LUNG_AA_amplicon5_amplicon5","LUNG","8:78048319:78135894"
"chr8",78153392,78179756,"DMS273_LUNG_AA_amplicon5_amplicon5","LUNG","8:78153392:78179756"
"chr8",78184073,78201428,"DMS273_LUNG_AA_amplicon5_amplicon5","LUNG","8:78184073:78201428"
"chr8",78233205,78307106,"DMS273_LUNG_AA_amplicon5_amplicon5","LUNG","8:78233205:78307106"
"chr8",78308532,78455813,"DMS273_LUNG_AA_amplicon5_amplicon5","LUNG","8:78308532:78455813"
"chr8",84951383,84955610,"DMS273_LUNG_AA_amplicon5_amplicon5","LUNG","8:84951383:84955610"
"chr8",106399206,106467338,"DMS273_LUNG_AA_amplicon5_amplicon5","LUNG","8:106399206:106467338"
"chr8",106469145,106566684,"DMS273_LUNG_AA_amplicon5_amplicon5","LUNG","8:106469145:106566684"
"chr8",106568905,106573811,"DMS273_LUNG_AA_amplicon5_amplicon5","LUNG","8:106568905:106573811"
"chr8",106576305,106585612,"DMS273_LUNG_AA_amplicon5_amplicon5","LUNG","8:106576305:106585612"
"chr8",106588557,106711156,"DMS273_LUNG_AA_amplicon5_amplicon5","LUNG","8:106588557:106711156"
"chr8",106718593,106769089,"DMS273_LUNG_AA_amplicon5_amplicon5","LUNG","8:106718593:106769089"
"chr8",128690633,128786797,"DMS273_LUNG_AA_amplicon5_amplicon5","LUNG","8:128690633:128786797"
"chr8",145264346,145281575,"DMS273_LUNG_AA_amplicon5_amplicon5","LUNG","8:145264346:145281575"
"chr20",13650932,14370049,"DMS454_LUNG_AA_amplicon3_amplicon3","LUNG","20:13650932:14370049"
"chr5",244168,248364,"DMS454_LUNG_AA_amplicon9_amplicon9","LUNG","5:244168:248364"
"chr5",1457534,1579473,"DMS454_LUNG_AA_amplicon9_amplicon9","LUNG","5:1457534:1579473"
"chr5",1583608,1626603,"DMS454_LUNG_AA_amplicon9_amplicon9","LUNG","5:1583608:1626603"
"chr12",3370815,4894589,"DMS53_LUNG_AA_amplicon6_amplicon6","LUNG","12:3370815:4894589"
"chr12",5653118,5850669,"DMS53_LUNG_AA_amplicon6_amplicon6","LUNG","12:5653118:5850669"
"chr12",23566540,23939521,"DMS53_LUNG_AA_amplicon6_amplicon6","LUNG","12:23566540:23939521"
"chr12",23940088,24605449,"DMS53_LUNG_AA_amplicon6_amplicon6","LUNG","12:23940088:24605449"
"chr7",100634935,100646978,"EBC1_LUNG_AA_amplicon14_amplicon14","LUNG","7:100634935:100646978"
"chr12",11167798,11226990,"EBC1_LUNG_AA_amplicon16_amplicon16","LUNG","12:11167798:11226990"
"chr12",11277973,11286278,"EBC1_LUNG_AA_amplicon16_amplicon16","LUNG","12:11277973:11286278"
"chr16",53155327,53850931,"EFM19_BREAST_AA_amplicon7_amplicon7","BREAST","16:53155327:53850931"
"chr17",30527826,30755823,"EFM19_BREAST_AA_amplicon7_amplicon7","BREAST","17:30527826:30755823"
"chr12",46187220,46871115,"EFM192A_BREAST_AA_amplicon2_amplicon2","BREAST","12:46187220:46871115"
"chr9",139497718,139738645,"EFO27_OVARY_AA_amplicon1_amplicon1","OVARY","9:139497718:139738645"
"chr6",161478256,162155322,"ES2_OVARY_AA_amplicon1_amplicon1","OVARY","6:161478256:162155322"
"chr11",69294827,69443039,"ES2_OVARY_AA_amplicon4_amplicon4","OVARY","11:69294827:69443039"
"chr11",69789111,70823905,"ES2_OVARY_AA_amplicon4_amplicon4","OVARY","11:69789111:70823905"
"chr11",71117205,71117599,"ES2_OVARY_AA_amplicon4_amplicon4","OVARY","11:71117205:71117599"
"chr11",71121741,71161475,"ES2_OVARY_AA_amplicon4_amplicon4","OVARY","11:71121741:71161475"
"chr11",71249198,71296478,"ES2_OVARY_AA_amplicon4_amplicon4","OVARY","11:71249198:71296478"
"chr11",71311306,71323040,"ES2_OVARY_AA_amplicon4_amplicon4","OVARY","11:71311306:71323040"
"chr11",75221059,75257989,"ES2_OVARY_AA_amplicon4_amplicon4","OVARY","11:75221059:75257989"
"chr11",90386561,90585555,"ES2_OVARY_AA_amplicon4_amplicon4","OVARY","11:90386561:90585555"
"chr11",90586288,91598987,"ES2_OVARY_AA_amplicon4_amplicon4","OVARY","11:90586288:91598987"
"chr11",98599075,99954641,"ES2_OVARY_AA_amplicon4_amplicon4","OVARY","11:98599075:99954641"
"chr11",100029216,101835108,"ES2_OVARY_AA_amplicon4_amplicon4","OVARY","11:100029216:101835108"
"chr11",101976615,101980766,"ES2_OVARY_AA_amplicon4_amplicon4","OVARY","11:101976615:101980766"
